player,country,team,goal,penalty
Jadon Sancho,England,Borussia Dortmund,1,0
Lamine Sané,Senegal,Werder Bremen,1,0
Nico Schulz,Germany,1899 Hoffenheim,1,0
André Schürrle,Germany,Borussia Dortmund,1,0
Çağlar Söyüncü,Turkey,SC Freiburg,1,0
Niklas Stark,Germany,Hertha BSC,1,0
Pascal Stenzel,Germany,SC Freiburg,1,0
Jeremy Toljan,Germany,1899 Hoffenheim,1,0
Jordan Torunarigha,Germany,Hertha BSC,1,0
Felix Uduokhai,Germany,VfL Wolfsburg,1,0
Miloš Veljković,Serbia,Werder Bremen,1,0
 Walace,Brazil,Hamburger SV,1,0
Luca Waldschmidt,Germany,Hamburger SV,1,0
Julian Weigl,Germany,Borussia Dortmund,1,0
Mitchell Weiser,Germany,Hertha BSC,1,0
Oscar Wendt,Sweden,Bor. Mönchengladbach,1,0
Dan-Axel Zagadou,France,Borussia Dortmund,1,0
Steven Zuber,Switzerland,1899 Hoffenheim,1,0
