player,country,team,goal,penalty
Ludovic Giuly,France,FC Lorient,1,0
Christopher Glombard,Martinique,Stade Reims,1,0
Rémi Gomis,France,Valenciennes FC,1,0
Sébastien Grax,France,ESTAC Troyes,1,0
Bruno Grougi,Martinique,Stade Brest,1,0
 Henrique,Brazil,Girondins Bordeaux,1,0
 Hilton,Brazil,Montpellier HSC,1,0
Guillaume Hoarau,France,Paris Saint-Germain,1,0
Florian Jarjat,France,ESTAC Troyes,1,0
 Jussiê,Brazil,Girondins Bordeaux,1,0
Ahmed Kantari,Morocco,Stade Brest,1,1
Cédric Kanté,Mali,FC Sochaux,1,0
Bakary Koné,Burkina Faso,Olympique Lyon,1,0
Kenny Lala,France,Valenciennes FC,1,0
Paul Lasne,France,AC Ajaccio,1,0
Arnaud Le Lan,France,FC Lorient,1,1
Fabien Lemoine,France,AS Saint-Étienne,1,0
Dejan Lovren,Croatia,Olympique Lyon,1,0
Sylvain Marchal,France,SC Bastia,1,0
Lucas Mareque,Argentina,FC Lorient,1,0
 Mariano,Brazil,Girondins Bordeaux,1,0
François Marque,France,SC Bastia,1,0
Rudy Mater,France,Valenciennes FC,1,0
Carl Medjani,France,AC Ajaccio,1,0
Yassine Mikari,Tunisia,FC Sochaux,1,0
Victor Montaño,Colombia,Stade Rennes,1,0
Jérémy Morel,France,Olympique Marseille,1,0
Granddi N'Goyi,France,ESTAC Troyes,1,0
Nicolas N'Koulou,Cameroon,Olympique Marseille,1,0
Clarck N'Sikulu,Congo DR,Évian Thonon Gaillard,1,0
 Nenê,Brazil,Paris Saint-Germain,1,0
Loris Néry,France,Valenciennes FC,1,0
Axel Ngando,France,Stade Rennes,1,0
Miloš Ninković,Serbia,Évian Thonon Gaillard,1,0
Divock Origi,Belgium,Lille OSC,1,0
Julien Palmieri,France,SC Bastia,1,0
 Pedrinho,Portugal,FC Lorient,1,0
Julien Quercia,France,FC Lorient,1,0
Adrien Rabiot,France,Paris Saint-Germain,1,0
 Rafaël Dias,Portugal,FC Sochaux,1,0
Enzo Reale,France,FC Lorient,1,0
Loïc Rémy,France,Olympique Marseille,1,0
Anthony Réveillère,France,Olympique Lyon,1,0
Fabien Robert,France,FC Lorient,1,0
Mahamadou Samassa,Mali,Valenciennes FC,1,0
Frédéric Sammaritano,France,AC Ajaccio,1,0
Lamine Sané,Senegal,Girondins Bordeaux,1,0
Djibril Sidibé,France,Lille OSC,1,0
