player,country,team,assists
Lisandro López,Argentina,Olympique Lyon,1
Grégory Lorenzi,France,Stade Brest,1
Jordan Lotiès,France,AS Nancy,1
Yann M'Vila,France,Stade Rennes,1
 Makonda,France,Stade Brest,1
Jean Makoun,Cameroon,Stade Rennes,1
Aïssa Mandi,Algeria,Stade Reims,1
Toifilou Maoulida,France,SC Bastia,1
 Marcos,Brazil,ESTAC Troyes,1
Nicolas Maurice-Belay,France,Girondins Bordeaux,1
Chris Mavinga,Congo DR,Stade Rennes,1
Iheb Mbarki,Tunisia,Évian Thonon Gaillard,1
Carl Medjani,France,AC Ajaccio,1
Maor Melikson,Israel,Valenciennes FC,1
Ryan Mendes,Cape Verde,Lille OSC,1
Camel Meriem,France,OGC Nice,1
Kévin Monnet-Paquet,France,FC Lorient,1
Luciano Monzón,Argentina,OGC Nice,1
Steven Moreira,France,Stade Rennes,1
Mehdi Mostefa,Algeria,AC Ajaccio,1
Arnold Mvuemba,France,FC Lorient,1
 Odaïr Fortes,Cape Verde,Stade Reims,1
Dennis Oliech,Kenya,AC Ajaccio,1
Vincent Pajot,France,Stade Rennes,1
Nemanja Pejčinović,Serbia,OGC Nice,1
Mathieu Peybernes,France,FC Sochaux,1
Jean-Baptiste Pierazzi,France,AC Ajaccio,1
Romain Pitau,France,Montpellier HSC,1
Anthony Réveillère,France,Olympique Lyon,1
Emmanuel Rivière,France,Toulouse FC,1
Nolan Roux,France,Lille OSC,1
Henri Saivet,Senegal,Girondins Bordeaux,1
Carlos Sánchez,Colombia,Valenciennes FC,1
Abdoulaye Sané,Senegal,Stade Rennes,1
Salif Sané,Senegal,AS Nancy,1
Djibril Sidibé,France,Lille OSC,1
Franck Signorino,France,Stade Reims,1
Moussa Sissoko,France,Toulouse FC,1
Pape Souaré,Senegal,Stade Reims,1
Benjamin Stambouli,France,Montpellier HSC,1
Mickaël Tacalfred,Guadeloupe,Stade Reims,1
Florian Thauvin,France,SC Bastia,1
 Thiago Motta,Italy,Paris Saint-Germain,1
Larsen Touré,Guinea,Stade Brest,1
Abdou Traoré,Mali,Girondins Bordeaux,1
Kalilou Traoré,Mali,FC Sochaux,1
Gregory van der Wiel,Netherlands,Paris Saint-Germain,1
Daniel Wass,Denmark,Évian Thonon Gaillard,1
Ishmael Yartey,Ghana,FC Sochaux,1
Simon Zenke,Nigeria,AS Nancy,1
