player,country,team,goal,penalty
Jordan Henderson,England,Liverpool FC,1,0
Tom Huddlestone,England,Hull City,1,1
Odion Ighalo,Nigeria,Watford FC,1,0
Billy Jones,England,Sunderland AFC,1,0
N'Golo Kanté,France,Chelsea FC,1,0
Wahbi Khazri,Tunisia,Sunderland AFC,1,0
Andy King,Wales,Leicester City,1,0
Aleksandar Kolarov,Serbia,Manchester City,1,0
Lamine Koné,Ivory Coast,Sunderland AFC,1,0
Cheikhou Kouyaté,Senegal,West Ham United,1,0
Érik Lamela,Argentina,Tottenham Hotspur,1,0
Grant Leadbitter,England,Middlesbrough FC,1,0
Joe Ledley,Wales,Crystal Palace,1,0
Jesse Lingard,England,Manchester United,1,0
Jake Livermore,England,Hull City,1,0
Ademola Lookman,England,Everton FC,1,0
 Lucas Pérez,Spain,Arsenal FC,1,0
Shaun Maloney,Scotland,Hull City,1,0
 Manquillo,Spain,Sunderland AFC,1,0
Dean Marney,England,Burnley FC,1,0
Bruno Martins Indi,Netherlands,Stoke City,1,0
Ryan Mason,England,Hull City,1,0
Nemanja Matić,Serbia,Chelsea FC,1,0
Joel Matip,Cameroon,Liverpool FC,1,0
James McCarthy,Ireland,Everton FC,1,0
James McClean,Ireland,West Bromwich Albion,1,0
Ben Mee,England,Burnley FC,1,0
David Meyler,Ireland,Hull City,1,0
Wes Morgan,Jamaica,Leicester City,1,0
 Muniesa,Spain,Stoke City,1,0
Alfred N'Diaye,Senegal,Hull City,1,0
Kyle Naughton,England,Swansea City,1,0
Didier Ndong,Gabon,Sunderland AFC,1,0
 Oriol Romeu,Spain,Southampton FC,1,0
Nicolás Otamendi,Argentina,Manchester City,1,0
 Pedro Obiang,Spain,West Ham United,1,0
Matthew Pennington,England,Everton FC,1,0
Sebastian Prödl,Austria,Watford FC,1,0
Aaron Ramsey,Wales,Arsenal FC,1,0
Andrew Robertson,Scotland,Hull City,1,0
Marcos Rojo,Argentina,Manchester United,1,0
Diafra Sakho,Senegal,West Ham United,1,0
Morgan Schneiderlin,France,Everton FC,1,0
Ryan Shawcross,England,Stoke City,1,0
Chris Smalling,England,Manchester United,1,0
Adam Smith,England,AFC Bournemouth,1,0
Isaac Success,Nigeria,Watford FC,1,0
John Terry,England,Chelsea FC,1,0
Leonardo Ulloa,Argentina,Leicester City,1,0
Antonio Valencia,Ecuador,Manchester United,1,0
Mike van der Hoorn,Netherlands,Swansea City,1,0
Virgil van Dijk,Netherlands,Southampton FC,1,0
Stephen Ward,Ireland,Burnley FC,1,0
Ashley Williams,Wales,Everton FC,1,0
Harry Winks,England,Tottenham Hotspur,1,0
Maya Yoshida,Japan,Southampton FC,1,0
Pablo Zabaleta,Argentina,Manchester City,1,0
Juan Zúñiga,Colombia,Watford FC,1,0
