player,country,team,assists
 Ganso,Brazil,Sevilla FC,1
Diego Godín,Uruguay,Atlético Madrid,1
 Granero,Spain,Real Sociedad,1
 Guerrero,Spain,CD Leganés,1
John Guidetti,Sweden,Celta Vigo,1
 Guilherme,Brazil,Deportivo La Coruña,1
 Hélder Lopes,Portugal,UD Las Palmas,1
 Hugo Mallo,Spain,Celta Vigo,1
 Iturraspe,Spain,Athletic Bilbao,1
 Iván Márquez,Spain,CA Osasuna,1
 Javi López,Spain,Espanyol Barcelona,1
 Jesé,Spain,UD Las Palmas,1
Ola John,Netherlands,Deportivo La Coruña,1
 Jony,Spain,Málaga CF,1
 Joseba Zaldúa,Spain,Real Sociedad,1
 Joselu,Spain,Deportivo La Coruña,1
Gaël Kakuta,France,Deportivo La Coruña,1
 Kike García,Spain,SD Eibar,1
Kenan Kodro,Bosnia-Herzegovina,CA Osasuna,1
 Laguardia,Spain,CD Alavés,1
Florian Lejeune,France,SD Eibar,1
 Lekue,Spain,Athletic Bilbao,1
 Lucas Pérez,Spain,Deportivo La Coruña,1
 Luis Hernández,Spain,Málaga CF,1
Aïssa Mandi,Algeria,Real Betis,1
 Manu García,Spain,CD Alavés,1
 Marc Roca,Spain,Espanyol Barcelona,1
 Mariano,Dom. Republic,Real Madrid,1
 Martín Montoya,Spain,Valencia CF,1
Gabriel Mercado,Argentina,Sevilla FC,1
 Mikel Vesga,Spain,Athletic Bilbao,1
Charly Musonda,Belgium,Real Betis,1
Alfred N'Diaye,Senegal,Villarreal CF,1
 Nacho Cases,Spain,Sporting Gijón,1
 Navarro,Spain,Espanyol Barcelona,1
 Oriol Riera,Spain,CA Osasuna,1
Aleksandar Pantić,Serbia,CD Alavés,1
Nicolás Pareja,Argentina,Sevilla FC,1
 Pepe,Portugal,Real Madrid,1
Enzo Pérez,Argentina,Valencia CF,1
Hernán Pérez,Paraguay,Espanyol Barcelona,1
Adrián Ramos,Colombia,Granada CF,1
 Raúl Albentosa,Spain,Deportivo La Coruña,1
 Raúl Navas,Spain,Real Sociedad,1
Federico Ricca,Uruguay,Málaga CF,1
Emmanuel Rivière,France,CA Osasuna,1
 Rober Ibáñez,Spain,CD Leganés,1
 Rodri,Spain,Villarreal CF,1
Óscar Romero,Paraguay,CD Alavés,1
Giuseppe Rossi,Italy,Celta Vigo,1
 Rubén Pérez,Spain,CD Leganés,1
 Rubén Sobrino,Spain,CD Alavés,1
 Rúben Vezo,Portugal,Granada CF,1
 Sabin,Spain,Athletic Bilbao,1
 Samper,Spain,FC Barcelona,1
 Samuel,Spain,CD Leganés,1
 San José,Spain,Athletic Bilbao,1
Antonio Sanabria,Paraguay,Real Betis,1
Christian Santos,Venezuela,CD Alavés,1
Matthieu Saunier,France,Granada CF,1
Stefan Savić,Montenegro,Atlético Madrid,1
 Sergio Álvarez,Spain,Sporting Gijón,1
 Sergio Álvarez,Spain,Celta Vigo,1
 Siqueira,Brazil,Valencia CF,1
 Toni Lato,Spain,Valencia CF,1
 Toquero,Spain,CD Alavés,1
 Trigueros,Spain,Villarreal CF,1
 Víctor,Spain,Sporting Gijón,1
 Víctor Díaz,Spain,CD Leganés,1
 Víctor Ruiz,Spain,Villarreal CF,1
 Víctor Sánchez,Spain,Espanyol Barcelona,1
 Viguera,Spain,Athletic Bilbao,1
 Villalibre,Spain,Athletic Bilbao,1
Mubarak Wakaso,Ghana,Granada CF,1
Simone Zaza,Italy,Valencia CF,1
 Zurutuza,Spain,Real Sociedad,1
