player,country,team,assists
Kévin N'Doram,France,AS Monaco,1
Clinton N'Jie,Cameroon,Olympique Marseille,1
Nicolas Pallois,France,Girondins Bordeaux,1
 Pedro Henrique,Brazil,Stade Rennes,1
Nicolas Pépé,Ivory Coast,Angers SCO,1
Jessy Pi,France,Toulouse FC,1
Florentin Pogba,Guinea,AS Saint-Étienne,1
Pierre-Yves Polomat,Martinique,AS Saint-Étienne,1
Sloan Privat,French Guyana,EA Guingamp,1
William Rémy,France,Montpellier HSC,1
Yohann Rivière,France,Dijon FCO,1
Jonathan Rivierez,France,FC Metz,1
Valentin Rongier,France,FC Nantes,1
Jérôme Roussillon,France,Montpellier HSC,1
Nolan Roux,France,AS Saint-Étienne,1
Maciej Rybus,Poland,Olympique Lyon,1
Nicolas Saint-Ruf,France,Montpellier HSC,1
Malang Sarr,France,OGC Nice,1
Giovanni Sio,Ivory Coast,Stade Rennes,1
Ellyes Skhiri,Tunisia,Montpellier HSC,1
 Somália,Brazil,Toulouse FC,1
Alexander Søderlund,Norway,AS Saint-Étienne,1
Sébastien Squillaci,France,SC Bastia,1
Bassem Srarfi,Tunisia,OGC Nice,1
Issiaga Sylla,Guinea,Toulouse FC,1
Oussama Tannane,Morocco,AS Saint-Étienne,1
 Thiago Motta,Italy,Paris Saint-Germain,1
Thomas Touré,Ivory Coast,Girondins Bordeaux,1
Lucas Tousart,France,Olympique Lyon,1
Ismaël Traoré,Ivory Coast,Angers SCO,1
William Vainqueur,France,Olympique Marseille,1
Thibaut Vion,France,FC Metz,1
Rémi Walter,France,OGC Nice,1
Steeve Yago,Burkina Faso,Toulouse FC,1
André Zambo,Cameroon,Olympique Marseille,1
