player,country,team,assists
Guillaume Rippert,France,Évian Thonon Gaillard,1
Sébastien Roudet,France,FC Sochaux,1
David Rozehnal,Czech Republic,Lille OSC,1
Jamel Saihi,Tunisia,Montpellier HSC,1
Frédéric Sammaritano,France,AC Ajaccio,1
Carlos Sánchez,Colombia,Valenciennes FC,1
David Sauget,France,FC Sochaux,1
Grégory Sertić,France,Girondins Bordeaux,1
Florent Sinama-Pongolle,France,AS Saint-Étienne,1
Pantxi Sirieix,France,Toulouse FC,1
Mohamed Sissoko,Mali,Paris Saint-Germain,1
Richard Socrier,Guadeloupe,AC Ajaccio,1
Gilles Sunu,Togo,FC Lorient,1
 Thiago Motta,Italy,Paris Saint-Germain,1
Larsen Touré,Guinea,Stade Brest,1
Bakaye Traoré,Mali,AS Nancy,1
John Utaka,Nigeria,Montpellier HSC,1
Mapou Yanga-Mbiwa,France,Montpellier HSC,1
