player,country,team,goal,penalty
 Rodnei,Brazil,1. FC Kaiserslautern,2,0
Timmy Simons,Belgium,1. FC Nürnberg,2,1
Petar Slišković,Croatia,1. FSV Mainz 05,2,0
Lars Stindl,Germany,Hannover 96,2,0
Christian Tiffert,Germany,1. FC Kaiserslautern,2,0
Piotr Trochowski,Germany,Hamburger SV,2,0
Daniel Van Buyten,Belgium,Bayern München,2,0
Boris Vukčević,Germany,1899 Hoffenheim,2,0
Heiko Westermann,Germany,Hamburger SV,2,0
 Antônio da Silva,Brazil,Borussia Dortmund,1,0
Ryan Babel,Netherlands,1899 Hoffenheim,1,0
Oliver Barth,Germany,SC Freiburg,1,0
Sven Bender,Germany,Borussia Dortmund,1,0
Roel Brouwers,Netherlands,Bor. Mönchengladbach,1,0
Niko Bungert,Germany,1. FSV Mainz 05,1,0
Heiko Butscher,Germany,SC Freiburg,1,0
 Caio,Brazil,Eintracht Frankfurt,1,0
Marco Caligiuri,Germany,1. FSV Mainz 05,1,0
Timothy Chandler,USA,1. FC Nürnberg,1,0
Angelos Charisteas,Greece,FC Schalke 04,1,0
Adil Chihi,Morocco,1. FC Köln,1,0
 Cícero,Brazil,VfL Wolfsburg,1,0
Matthieu Delpierre,France,VfB Stuttgart,1,0
Martín Demichelis,Argentina,Bayern München,1,0
Florian Dick,Germany,1. FC Kaiserslautern,1,0
Julian Draxler,Germany,FC Schalke 04,1,0
Marcel Eger,Germany,FC St. Pauli,1,0
Martin Fenin,Czech Republic,Eintracht Frankfurt,1,0
Sebastian Freis,Germany,1. FC Köln,1,0
Patrick Funk,Germany,VfB Stuttgart,1,0
Karim Haggui,Tunisia,Hannover 96,1,0
Florian Heller,Germany,1. FSV Mainz 05,1,0
Rouwen Hennings,Germany,FC St. Pauli,1,0
Adam Hloušek,Czech Republic,1. FC Kaiserslautern,1,0
Benedikt Höwedes,Germany,FC Schalke 04,1,0
Sami Hyypiä,Finland,Bayer Leverkusen,1,0
Jermaine Jones,USA,FC Schalke 04,1,0
Thomas Kahlenberg,Denmark,VfL Wolfsburg,1,0
Simon Kjær,Denmark,VfL Wolfsburg,1,0
Miroslav Klose,Germany,Bayern München,1,0
Peer Kluge,Germany,FC Schalke 04,1,0
Toni Kroos,Germany,Bayern München,1,0
Thorben Marx,Germany,Bor. Mönchengladbach,1,0
Kevin McKenna,Canada,1. FC Köln,1,0
Christoph Metzelder,Germany,FC Schalke 04,1,0
Ilian Micanski,Bulgaria,1. FC Kaiserslautern,1,0
Deniz Naki,Germany,FC St. Pauli,1,0
Roman Neustädter,Russia,Bor. Mönchengladbach,1,0
Per Nilsson,Sweden,1. FC Nürnberg,1,0
Håvard Nordtveit,Norway,Bor. Mönchengladbach,1,0
 Petit,Portugal,1. FC Köln,1,0
Jan Polák,Czech Republic,VfL Wolfsburg,1,0
Sebastian Prödl,Austria,Werder Bremen,1,0
Ivan Rakitić,Croatia,FC Schalke 04,1,0
Sebastian Rudy,Germany,1899 Hoffenheim,1,0
Marco Russ,Germany,Eintracht Frankfurt,1,0
Sven Schipplock,Germany,VfB Stuttgart,1,0
Pirmin Schwegler,Switzerland,Eintracht Frankfurt,1,0
Mikaël Silvestre,France,Werder Bremen,1,0
Martin Stranzl,Austria,Bor. Mönchengladbach,1,0
Neven Subotić,Serbia,Borussia Dortmund,1,0
Richard Sukuta-Pasu,Germany,FC St. Pauli,1,0
Markus Thorandt,Germany,FC St. Pauli,1,0
Christian Träsch,Germany,VfB Stuttgart,1,0
Giorgos Tzavellas,Greece,Eintracht Frankfurt,1,0
 Wesley,Brazil,Werder Bremen,1,0
Julian Wießmeier,Germany,1. FC Nürnberg,1,0
Taner Yalçın,Germany,1. FC Köln,1,0
Carlos Zambrano,Peru,FC St. Pauli,1,0
 Zé Roberto,Brazil,Hamburger SV,1,1
