player,country,team,goal,penalty
Rio Mavuba,France,Lille OSC,1,0
Carl Medjani,France,Valenciennes FC,1,0
Benjamin Mendy,France,Olympique Marseille,1,0
Jonathan Mensah,Ghana,Évian Thonon Gaillard,1,0
Yohan Mollo,France,AS Saint-Étienne,1,0
Arnold Mvuemba,France,Olympique Lyon,1,0
Landry N'Guémo,Cameroon,Girondins Bordeaux,1,0
Bănel Nicoliţă,Romania,AS Saint-Étienne,1,0
Vincent Nogueira,France,FC Sochaux,1,0
Dennis Oliech,Kenya,AC Ajaccio,1,0
Vincent Pajot,France,Stade Rennes,1,0
Javier Pastore,Argentina,Paris Saint-Germain,1,0
Benoît Pedretti,France,AC Ajaccio,1,0
Nemanja Pejčinović,Serbia,OGC Nice,1,0
Jérémy Pied,France,OGC Nice,1,0
Andrea Raggi,Italy,AS Monaco,1,0
Alaixys Romao,Togo,Olympique Marseille,1,0
Marco Rubén,Argentina,Évian Thonon Gaillard,1,0
Moustapha Sall,Senegal,AS Saint-Étienne,1,0
Morgan Sanson,France,Montpellier HSC,1,0
Franck Signorino,France,Stade Reims,1,0
Pantxi Sirieix,France,Toulouse FC,1,0
Jérémy Sorbon,France,EA Guingamp,1,0
Gilles Sunu,Togo,FC Lorient,1,0
Corentin Tolisso,France,Olympique Lyon,1,0
Jérémy Toulalan,France,AS Monaco,1,0
Abdou Traoré,Mali,Girondins Bordeaux,1,0
Jordan Veretout,France,FC Nantes,1,0
Oswaldo Vizcarrondo,Venezuela,FC Nantes,1,0
Sambou Yatabaré,Mali,SC Bastia,1,0
Ronald Zubar,Guadeloupe,AC Ajaccio,1,0
