player,country,team,goal,penalty
Benedikt Höwedes,Germany,Juventus,1,0
Svante Ingelsson,Sweden,Udinese Calcio,1,0
Armando Izzo,Italy,Genoa CFC,1,0
 João Cancelo,Portugal,Inter,1,0
Yann Karamoh,France,Inter,1,0
Achraf Lazaar,Morocco,Benevento Calcio,1,0
Seung-woo Lee,South Korea,Hellas Verona,1,0
Mauricio Lemos,Uruguay,Sassuolo Calcio,1,0
Gaetano Letizia,Italy,Benevento Calcio,1,0
Jordan Lukaku,Belgium,Lazio Roma,1,0
Ibrahima M'Baye,Senegal,Bologna FC,1,0
Gianluca Mancini,Italy,Atalanta,1,0
Bruno Martella,Italy,FC Crotone,1,0
 Miguel Veloso,Portugal,Genoa CFC,1,0
Simone Missiroli,Italy,Sassuolo Calcio,1,0
Riccardo Montolivo,Italy,AC Milan,1,0
Ádám Nagy,Hungary,Bologna FC,1,0
Bram Nuytinck,Netherlands,Udinese Calcio,1,0
Simone Padoin,Italy,Cagliari Calcio,1,0
José Palomino,Argentina,Atalanta,1,0
Sergio Pellissier,Italy,Chievo Verona,1,0
Federico Peluso,Italy,Sassuolo Calcio,1,0
Stipe Perica,Croatia,Udinese Calcio,1,0
Germán Pezzella,Argentina,ACF Fiorentina,1,0
Dennis Praet,Belgium,Sampdoria,1,0
George Pușcaș,Romania,Benevento Calcio,1,0
Ivan Radovanović,Serbia,Chievo Verona,1,0
Federico Ricci,Italy,FC Crotone,1,0
Tomás Rincón,Venezuela,Torino FC,1,0
Ricardo Rodríguez,Switzerland,AC Milan,1,1
Marko Rog,Croatia,SSC Napoli,1,0
Giuseppe Rossi,Italy,Genoa CFC,1,0
Bacary Sagna,France,Benevento Calcio,1,0
Carlos Sánchez,Colombia,ACF Fiorentina,1,0
 Sandro,Brazil,Benevento Calcio,1,0
Pasquale Schiattarella,Italy,SPAL 2013 Ferrara,1,0
Matías Silvestre,Argentina,Sampdoria,1,0
Lorenco Šimić,Croatia,SPAL 2013 Ferrara,1,0
Kevin Strootman,Netherlands,AS Roma,1,0
Jens Stryger Larsen,Denmark,Udinese Calcio,1,0
Rafael Tolói,Brazil,Atalanta,1,0
Lorenzo Tonelli,Italy,SSC Napoli,1,0
 Vitor Hugo,Brazil,ACF Fiorentina,1,0
Jagoš Vuković,Serbia,Hellas Verona,1,0
