player,country,team,goal,penalty
Simon Zoller,Germany,1. FC Köln,2,0
David Abraham,Argentina,Eintracht Frankfurt,1,0
Amir Abrashi,Albania,SC Freiburg,1,0
Sami Allagui,Tunisia,Hertha BSC,1,1
Daniel Baier,Germany,FC Augsburg,1,0
Philipp Bargfrede,Germany,Werder Bremen,1,0
Robert Bauer,Germany,Werder Bremen,1,0
Änis Ben-Hatira,Tunisia,SV Darmstadt 98,1,0
László Bénes,Slovakia,Bor. Mönchengladbach,1,0
Ermin Bičakčić,Bosnia-Herzegovina,1899 Hoffenheim,1,0
Danny Blum,Germany,Eintracht Frankfurt,1,0
 Bojan,Spain,1. FSV Mainz 05,1,0
Terrence Boyd,USA,SV Darmstadt 98,1,0
Daniel Brosinski,Germany,1. FSV Mainz 05,1,1
Jeffrey Bruma,Netherlands,VfL Wolfsburg,1,0
Niko Bungert,Germany,1. FSV Mainz 05,1,0
Oliver Burke,Scotland,RB Leipzig,1,0
Christian Clemens,Germany,1. FC Köln,1,0
 Coke,Spain,FC Schalke 04,1,0
Diego Demme,Germany,RB Leipzig,1,0
Maximilian Eggestein,Germany,Werder Bremen,1,0
Albin Ekdal,Sweden,Hamburger SV,1,0
Santiago García,Argentina,Werder Bremen,1,0
Mario Götze,Germany,Borussia Dortmund,1,0
Florent Hadergjonaj,Switzerland,FC Ingolstadt 04,1,0
Izet Hajrović,Bosnia-Herzegovina,Werder Bremen,1,0
Genki Haraguchi,Japan,Hertha BSC,1,0
Moritz Hartmann,Germany,FC Ingolstadt 04,1,0
Makoto Hasebe,Japan,Eintracht Frankfurt,1,1
Jonas Hector,Germany,1. FC Köln,1,0
Michael Hector,Jamaica,Eintracht Frankfurt,1,0
Patrick Herrmann,Germany,Bor. Mönchengladbach,1,0
Nicolas Höfler,Germany,SC Freiburg,1,0
Lewis Holtby,Germany,Hamburger SV,1,0
Benedikt Höwedes,Germany,FC Schalke 04,1,0
Mats Hummels,Germany,Bayern München,1,0
 Javi Martínez,Spain,Bayern München,1,0
Tin Jedvaj,Croatia,Bayer Leverkusen,1,0
Aron Jóhannsson,USA,Werder Bremen,1,1
Anthony Jung,Germany,FC Ingolstadt 04,1,0
Shinji Kagawa,Japan,Borussia Dortmund,1,0
Dominik Kaiser,Germany,RB Leipzig,1,0
Kevin Kampl,Slovenia,Bayer Leverkusen,1,0
Thilo Kehrer,Germany,FC Schalke 04,1,0
László Kleinheisler,Hungary,SV Darmstadt 98,1,0
Lukas Klünter,Germany,1. FC Köln,1,0
Robin Knoche,Germany,VfL Wolfsburg,1,0
Yevhen Konoplyanka,Ukraine,FC Schalke 04,1,0
Philipp Lahm,Germany,Bayern München,1,0
Pierre-Michel Lasogga,Germany,Hamburger SV,1,0
Ousman Manneh,Gambia,Werder Bremen,1,0
Philipp Max,Germany,FC Augsburg,1,0
Max Meyer,Germany,FC Schalke 04,1,0
Emre Mor,Turkey,Borussia Dortmund,1,0
Alfredo Morales,USA,FC Ingolstadt 04,1,0
 Naldo,Brazil,FC Schalke 04,1,0
Bastian Oczipka,Germany,Eintracht Frankfurt,1,0
Denys Oliynyk,Ukraine,SV Darmstadt 98,1,0
Karim Onisiwo,Austria,1. FSV Mainz 05,1,0
Matthias Ostrzolek,Germany,Hamburger SV,1,0
Peter Pekarík,Slovakia,Hertha BSC,1,0
Claudio Pizarro,Peru,Werder Bremen,1,0
Robin Quaison,Sweden,1. FSV Mainz 05,1,0
 Rafinha,Brazil,Bayern München,1,0
Sebastian Rode,Germany,Borussia Dortmund,1,0
 Roger,Brazil,FC Ingolstadt 04,1,0
Gōtoku Sakai,Japan,Hamburger SV,1,0
Lamine Sané,Senegal,Werder Bremen,1,0
Jonathan Schmid,France,FC Augsburg,1,0
Nico Schulz,Germany,Bor. Mönchengladbach,1,0
Paul Seguin,Germany,VfL Wolfsburg,1,0
Aaron Seydel,Germany,1. FSV Mainz 05,1,0
Niklas Stark,Germany,Hertha BSC,1,0
Pascal Stenzel,Germany,SC Freiburg,1,0
Jonathan Tah,Germany,Bayer Leverkusen,1,0
Shani Tarashaj,Switzerland,Eintracht Frankfurt,1,0
Marco Terrazzino,Germany,1899 Hoffenheim,1,0
Lennart Thy,Germany,Werder Bremen,1,0
Jeremy Toljan,Germany,1899 Hoffenheim,1,0
Ömer Toprak,Turkey,Bayer Leverkusen,1,0
Jordan Torunarigha,Germany,Hertha BSC,1,0
Ibrahima Traoré,Guinea,Bor. Mönchengladbach,1,0
 Vallejo,Spain,Eintracht Frankfurt,1,0
 Walace,Brazil,Hamburger SV,1,0
Luca Waldschmidt,Germany,Hamburger SV,1,0
