player,country,team,goal,penalty
Nosa Igiebor,Nigeria,Real Betis,1,0
 Javi López,Spain,Espanyol Barcelona,1,0
 Jordi Amat,Spain,Rayo Vallecano,1,0
 Juan Domínguez,Spain,Deportivo La Coruña,1,0
 Juanfran,Spain,Atlético Madrid,1,0
 Juanmi,Spain,Málaga CF,1,0
 Kevin,Spain,RCD Mallorca,1,0
Geoffrey Kondogbia,France,Sevilla FC,1,0
Michael Krohn-Dehli,Denmark,Celta Vigo,1,0
 Llorente,Spain,CA Osasuna,1,0
 Lolo,Spain,CA Osasuna,1,0
 Lopo García,Spain,Getafe CF,1,0
 Mainz,Spain,Granada CF,1,0
 Mané,Spain,Getafe CF,1,0
 Manu del Moral,Spain,Sevilla FC,1,0
 Manuel Onwu,Spain,CA Osasuna,1,0
 Mario,Spain,Real Betis,1,0
 Mario Suárez,Spain,Atlético Madrid,1,0
 Martí,Spain,RCD Mallorca,1,0
 Martín Montoya,Spain,FC Barcelona,1,0
Jérémy Mathieu,France,Valencia CF,1,0
 Muniain,Spain,Athletic Bilbao,1,0
 Nacho,Spain,Rayo Vallecano,1,0
 Nacho Monreal,Spain,Málaga CF,1,0
 Navarro,Spain,Levante UD,1,0
Fabrice Olinga,Cameroon,Málaga CF,1,0
 Omar,Spain,Real Valladolid,1,0
 Pablo Sarabia,Spain,Getafe CF,1,0
 Parejo,Spain,Valencia CF,1,0
 Pepe,Portugal,Real Madrid,1,0
Mickaël Pereira,France,RCD Mallorca,1,0
Pablo Piatti,Argentina,Valencia CF,1,0
 Pozuelo,Spain,Real Betis,1,0
 Puñal,Spain,CA Osasuna,1,0
 Puyol,Spain,FC Barcelona,1,0
 Rafa,Spain,Getafe CF,1,0
 Raúl Albiol,Spain,Real Madrid,1,0
 Raúl Baena,Spain,Espanyol Barcelona,1,0
 Raúl Tamudo,Spain,Rayo Vallecano,1,0
 Roberto Torres,Spain,CA Osasuna,1,0
Cristian Rodríguez,Uruguay,Atlético Madrid,1,0
 Roger,Spain,Levante UD,1,0
 Rubén Pérez,Spain,Real Betis,1,0
 Rubén Rochina,Spain,Real Zaragoza,1,0
Antonio Rukavina,Serbia,Real Valladolid,1,0
 Salvador Agra,Portugal,Real Betis,1,0
 Sastre,Spain,Real Valladolid,1,0
 Sergio Tejera,Spain,Espanyol Barcelona,1,0
Masoud Shojaei,Iran,CA Osasuna,1,0
Francisco Silva,Chile,CA Osasuna,1,0
Alex Song,Cameroon,FC Barcelona,1,0
Emir Spahić,Bosnia-Herzegovina,Sevilla FC,1,0
 Tito,Spain,Rayo Vallecano,1,0
 Trashorras,Spain,Rayo Vallecano,1,0
 Valerón,Spain,Deportivo La Coruña,1,0
 Víctor,Spain,Real Zaragoza,1,0
 Víctor Sánchez,Spain,Espanyol Barcelona,1,0
Franco Zuculini,Argentina,Real Zaragoza,1,0
