player,country,team,assists
Gojko Kačar,Serbia,Hamburger SV,1
Michal Kadlec,Czech Republic,Bayer Leverkusen,1
Shinji Kagawa,Japan,Borussia Dortmund,1
Miroslav Karhan,Slovakia,1. FSV Mainz 05,1
Sebastian Kehl,Germany,Borussia Dortmund,1
Simon Kjær,Denmark,VfL Wolfsburg,1
Peer Kluge,Germany,FC Schalke 04,1
Benjamin Köhler,Germany,Eintracht Frankfurt,1
Ja-cheol Koo,South Korea,VfL Wolfsburg,1
Srđan Lakić,Croatia,1. FC Kaiserslautern,1
Altin Lala,Albania,Hannover 96,1
Martin Lanig,Germany,1. FC Köln,1
Róbert Mak,Slovakia,1. FC Nürnberg,1
Thorben Marx,Germany,Bor. Mönchengladbach,1
Joel Matip,Cameroon,FC Schalke 04,1
Karim Matmour,Algeria,Bor. Mönchengladbach,1
Alexander Meier,Germany,Eintracht Frankfurt,1
Zvjezdan Misimović,Bosnia-Herzegovina,VfL Wolfsburg,1
Manuel Neuer,Germany,FC Schalke 04,1
Roman Neustädter,Russia,Bor. Mönchengladbach,1
Chinedu Obasi,Nigeria,1899 Hoffenheim,1
Rubin Okotie,Austria,1. FC Nürnberg,1
Patrick Owomoyela,Germany,Borussia Dortmund,1
 Petit,Portugal,1. FC Köln,1
Kevin Pezzoni,Germany,1. FC Köln,1
Stiven Rivić,Croatia,1. FC Kaiserslautern,1
 Rodnei,Brazil,1. FC Kaiserslautern,1
Frank Rost,Germany,Hamburger SV,1
Marco Russ,Germany,Eintracht Frankfurt,1
Tuncay Şanlı,Turkey,VfL Wolfsburg,1
Christian Schulz,Germany,Hannover 96,1
Mikaël Silvestre,France,Werder Bremen,1
Timmy Simons,Belgium,1. FC Nürnberg,1
Elkin Soto,Colombia,1. FSV Mainz 05,1
Richard Sukuta-Pasu,Germany,FC St. Pauli,1
Bo Svensson,Denmark,1. FSV Mainz 05,1
Serdar Taşçı,Germany,VfB Stuttgart,1
Ruud van Nistelrooy,Netherlands,Hamburger SV,1
Christian Wetklo,Germany,1. FSV Mainz 05,1
Andreas Wolf,Germany,1. FC Nürnberg,1
Kisho Yano,Japan,SC Freiburg,1
Radoslav Zabavník,Slovakia,1. FSV Mainz 05,1
