player,country,team,assists
Eren Derdiyok,Switzerland,Bayer Leverkusen,1
Júnior Díaz,Costa Rica,1. FSV Mainz 05,1
Daniel Didavi,Germany,VfB Stuttgart,1
 Domínguez,Spain,Bor. Mönchengladbach,1
Giulio Donati,Italy,Bayer Leverkusen,1
Bas Dost,Netherlands,VfL Wolfsburg,1
Alexander Esswein,Germany,1. FC Nürnberg,1
 Felipe Santana,Brazil,FC Schalke 04,1
Mike Frantz,Germany,1. FC Nürnberg,1
Manuel Friedrich,Germany,Borussia Dortmund,1
Theodor Gebre Selassie,Czech Republic,Werder Bremen,1
Leon Goretzka,Germany,FC Schalke 04,1
Christian Günter,Germany,SC Freiburg,1
Makoto Hasebe,Japan,1. FC Nürnberg,1
Roberto Hilbert,Germany,Bayer Leverkusen,1
André Hoffmann,Germany,Hannover 96,1
Nicolas Höfler,Germany,SC Freiburg,1
Raphael Holzhauser,Austria,FC Augsburg,1
Hajime Hosogai,Japan,Hertha BSC,1
Pierre-Emile Højbjerg,Denmark,Bayern München,1
Tony Jantschke,Germany,Bor. Mönchengladbach,1
Petr Jiráček,Czech Republic,Hamburger SV,1
Jermaine Jones,USA,FC Schalke 04,1
Sebastian Kehl,Germany,Borussia Dortmund,1
Benjamin Kessel,Germany,Eintracht Braunschweig,1
Christoph Kramer,Germany,Bor. Mönchengladbach,1
Pavel Krmaš,Czech Republic,SC Freiburg,1
Pierre-Michel Lasogga,Germany,Hamburger SV,1
Róbert Mak,Slovakia,1. FC Nürnberg,1
Jan Morávek,Czech Republic,FC Augsburg,1
Christoph Moritz,Germany,1. FSV Mainz 05,1
Chinedu Obasi,Nigeria,FC Schalke 04,1
Ludovic Obraniak,Poland,Werder Bremen,1
Bastian Oczipka,Germany,Eintracht Frankfurt,1
Shinji Okazaki,Japan,1. FSV Mainz 05,1
Tomáš Pekhart,Czech Republic,1. FC Nürnberg,1
Ronny Philp,Germany,FC Augsburg,1
Emanuel Pogatetz,Austria,1. FC Nürnberg,1
Sebastian Prödl,Austria,Werder Bremen,1
Lukas Raeder,Germany,Bayern München,1
Ken Reichel,Germany,Eintracht Braunschweig,1
Stefan Reinartz,Germany,Bayer Leverkusen,1
Jan Rosenthal,Germany,Eintracht Frankfurt,1
Marcel Schäfer,Germany,VfL Wolfsburg,1
Jan Schlaudraff,Germany,Hannover 96,1
Manuel Schmiedebach,Germany,Hannover 96,1
Nico Schulz,Germany,Hertha BSC,1
Julian Schuster,Germany,SC Freiburg,1
Daniel Schwaab,Germany,VfB Stuttgart,1
Emir Spahić,Bosnia-Herzegovina,Bayer Leverkusen,1
Tobias Strobl,Germany,1899 Hoffenheim,1
Valmir Sulejmani,Kosovo,Hannover 96,1
Bo Svensson,Denmark,1. FSV Mainz 05,1
Ádám Szalai,Hungary,FC Schalke 04,1
Ömer Toprak,Turkey,Bayer Leverkusen,1
Christian Träsch,Germany,VfL Wolfsburg,1
Johannes van den Bergh,Germany,Hertha BSC,1
Jannik Vestergaard,Denmark,1899 Hoffenheim,1
 Vieirinha,Portugal,VfL Wolfsburg,1
Kevin Vogt,Germany,FC Augsburg,1
Oscar Wendt,Sweden,Bor. Mönchengladbach,1
Granit Xhaka,Switzerland,Bor. Mönchengladbach,1
Didier Ya Konan,Ivory Coast,Hannover 96,1
Amin Younes,Germany,Bor. Mönchengladbach,1
Jacques Zoua,Cameroon,Hamburger SV,1
