player,country,team,assists
Juan Forlín,Argentina,Espanyol Barcelona,1
Theofanis Gekas,Greece,Levante UD,1
 Hélder Postiga,Portugal,Real Zaragoza,1
 Iborra,Spain,Levante UD,1
Nosa Igiebor,Nigeria,Real Betis,1
 Iñigo Martínez,Spain,Real Sociedad,1
 Iñigo Pérez,Spain,Athletic Bilbao,1
Emiliano Insúa,Argentina,Atlético Madrid,1
 Isco,Spain,Málaga CF,1
 Iturraspe,Spain,Athletic Bilbao,1
 Jaime,Spain,Granada CF,1
 Javi Chica,Spain,Real Betis,1
 Javi Fuego,Spain,Rayo Vallecano,1
 Javi Márquez,Spain,RCD Mallorca,1
 Jesús Gámez,Spain,Málaga CF,1
 Jonathan Pereira,Spain,Real Betis,1
 Jordi Figueras,Spain,Rayo Vallecano,1
 José Carlos,Spain,Rayo Vallecano,1
 Juan Rodríguez,Spain,Getafe CF,1
Nikos Karabelas,Greece,Levante UD,1
 Kevin,Spain,RCD Mallorca,1
 Kike Sola,Spain,CA Osasuna,1
Geoffrey Kondogbia,France,Sevilla FC,1
Mehdi Lacen,Algeria,Getafe CF,1
Daniel Larsson,Sweden,Real Valladolid,1
 Laure,Spain,Deportivo La Coruña,1
 Llorente,Spain,Athletic Bilbao,1
Raoul Loé,Cameroon,CA Osasuna,1
Samuele Longo,Italy,Espanyol Barcelona,1
 Lopo García,Spain,Getafe CF,1
Diego Lugano,Uruguay,Málaga CF,1
 Manquillo,Spain,Atlético Madrid,1
 Manuel Onwu,Spain,CA Osasuna,1
 Marc Bertrán,Spain,CA Osasuna,1
 Mario Suárez,Spain,Atlético Madrid,1
 Markel Bergara,Spain,Real Sociedad,1
 Martí,Spain,RCD Mallorca,1
 Mikel,Spain,Real Sociedad,1
 Molina,Spain,Real Betis,1
 Morata,Spain,Real Madrid,1
 Muniain,Spain,Athletic Bilbao,1
Gustavo Munúa,Uruguay,Levante UD,1
 Nacho,Spain,Rayo Vallecano,1
 Nino,Spain,CA Osasuna,1
 Nolito,Spain,Granada CF,1
 Paco Alcácer,Spain,Getafe CF,1
 Paco Montañés,Spain,Real Zaragoza,1
Chu-young Park,South Korea,Celta Vigo,1
 Pedro López,Spain,Levante UD,1
 Pedro Ríos,Spain,Levante UD,1
 Peña,Spain,Real Valladolid,1
 Pepe,Portugal,Real Madrid,1
 Pina,Spain,RCD Mallorca,1
 Puñal,Spain,CA Osasuna,1
 Puyol,Spain,FC Barcelona,1
 Ricardo Carvalho,Portugal,Real Madrid,1
 Roberto,Spain,Granada CF,1
Cristian Rodríguez,Uruguay,Atlético Madrid,1
 Romaric,Ivory Coast,Real Zaragoza,1
 Ruiz de Galarreta,Spain,Athletic Bilbao,1
 Sergio Ramos,Spain,Real Madrid,1
 Sergio Sánchez,Spain,Málaga CF,1
 Sevilla,Spain,Real Betis,1
Francisco Silva,Chile,CA Osasuna,1
 Tito,Spain,Rayo Vallecano,1
 Toni,Spain,Celta Vigo,1
Jérémy Toulalan,France,Málaga CF,1
 Valdo,Cape Verde,Levante UD,1
 Víctor Sánchez,Spain,Espanyol Barcelona,1
Franco Zuculini,Argentina,Real Zaragoza,1
